Feature/Button Name,Location,User Action,API Call,Request Parameters,Backend Response Structure,Database Queries,Calculations Performed,Layers Accessed,Statistics Displayed,Calculation Method,Verification Status
"API Endpoint - GET /api/impact/summary","api/impact-summary.mjs:331","Frontend requests impact data","N/A (receives request)","Query string: climate, maintenance, returnPeriod, depthThreshold","Returns ImpactMatrixData JSON","See above","See above + processResults()","See above","No layers","Climate-specific scenarios","Cached responses (5-min TTL)","✅ VERIFIED"
"API - Cache Check","api/impact-summary.mjs:349","Check cache before DB query","None","N/A","N/A","N/A","cache.has(cacheKey)","No calculation","No layers","No stats","Map.has() check","✅ VERIFIED"
"API - Cache Set","api/impact-summary.mjs:435","Store response in cache","None","N/A","N/A","N/A","cache.set(cacheKey, response)","No calculation","No layers","No stats","Map.set() with expiry","✅ VERIFIED"
"API - processResults()","api/impact-summary.mjs:462","Process DB rows into scenarios","N/A","N/A","N/A","N/A","1) Build scenarioId, 2) Get geometry-based affected features, 3) Calculate depth bin %, 4) Calculate severity, 5) Build layer names","No layers","Scenario summaries","Multi-step calculation","✅ VERIFIED"
"API - getTotalFeatureCounts()","api/impact-summary.mjs:147","Get true totals from Exposure_InputData","None","N/A","N/A","N/A","N/A","Electric_Grid: SUM(ST_Length(geom)), Built_up_Area: SUM(ST_Area(geom)), Cropped_Area: SUM(ST_Area(geom)), Others: COUNT(*)","No layers","Total counts for each exposure type","Geometry-based aggregates","✅ VERIFIED"
"API - getAffectedMeasurement()","api/impact-summary.mjs:210","Get geometry-based affected measurement","None","N/A","N/A","N/A","Electric_Grid: SUM(ST_Length(geom)) WHERE depth_bin IS NOT NULL, Built_up_Area/Cropped_Area: SUM(ST_Area(geom)) WHERE depth_bin IS NOT NULL","No layers","Affected length/area in meters/sq meters","Geometry-specific queries","✅ VERIFIED"
"API - getZonalLayerAreaPercentages()","api/impact-summary.mjs:260","Get area % for zonal layers by depth bin","None","N/A","N/A","N/A","SELECT depth_bin, ST_Area(geom)/10000 as area_hectares FROM {table} ORDER BY depth_bin, then calculate % by bin","No layers","Area % by depth bin (15-100cm, 1-2m, etc)","Area distribution calculation","✅ VERIFIED"
"API - calculateSeverityFromExposures()","api/impact-summary.mjs:606","Calculate severity level","None","N/A","N/A","N/A","N/A","0-2 affected = low, 3-5 = medium, 6-7 = high, 8-9 = extreme","No layers","Severity level","Conditional logic","✅ VERIFIED"
"API - Layer Name Generation","api/impact-summary.mjs:561","Build GeoServer layer name","None","N/A","N/A","N/A","replace('2.3', '23') for decimal workaround","No layers","Layer name format: T3_{rp}yrs_{Climate}_{Maintenance}_Impacted_{LayerType}","String replacement","✅ VERIFIED"
"API - Depth Bin % Calculation","api/impact-summary.mjs:529","Calculate depth bin percentages","None","N/A","N/A","N/A","For zonal: use area % from DB, For others: (bin.count / totalAffected) * 100","No layers","Depth distribution %","Division + multiplication","✅ VERIFIED"
"API - Population Depth Bin %","api/impact-summary.mjs:577","Calculate population depth bin percentages","None","N/A","N/A","N/A","(bin.population / totalPop) * 100","No layers","Population % by depth bin","Division + multiplication","✅ VERIFIED"
"Frontend - filterScenariosByThreshold()","src/lib/depth-filter.ts","Filter scenarios by depth threshold","None","N/A","N/A","N/A","For each scenario, filter impacts by depth > threshold, recalculate totalAffectedExposures","No layers","Filtered scenario list","Array filter + recalculation","✅ VERIFIED"
"Frontend - createCQLFilterForThreshold()","src/lib/depth-filter.ts","Create CQL filter for WMS","None","N/A","N/A","N/A","Build CQL: depth_bin >= '{minBin}' OR depth_bin >= '{nextMinBin}' based on threshold","No layers","CQL filter string","String interpolation with bins","✅ VERIFIED"
"Map Viewer - Layer Toggle","src/components/map/MapViewer.tsx","Toggle layer visibility","None","N/A","N/A","N/A","Updates visibleLayers state, triggers WMS layer add/remove","WMS layers from GeoServer","Layer name in legend","State update + WMS request","✅ VERIFIED"
"Map Viewer - Coordinate Display","src/components/map/MapViewer.tsx","View mouse position coordinates","None","N/A","N/A","N/A","Transform coordinates from UTM to Lat/Lon","No layers","UTM: {easting} {northing}, Lat/Lon: {lat} {lon","Proj4js transform","✅ VERIFIED"
"Map Viewer - Feature Identification","src/components/map/MapViewer.tsx","Click on map","WMS GetFeatureInfo request","REQUEST=GetFeatureInfo&VERSION=1.1.1&QUERY_LAYERS={layer}&INFO_FORMAT=application/json&X={pixel}&Y={pixel}","Feature attributes JSON","N/A","Clicked layer","Feature properties from WMS","WMS request","✅ VERIFIED"
"Layer Tree - Group Toggle","src/components/layer-tree/","Toggle layer group visibility","None","N/A","N/A","N/A","Updates visibility for all child layers","WMS layers from group","Expanded/collapsed state","Recursive toggle","✅ VERIFIED"
"Layer Tree - Layer Toggle","src/components/layer-tree/","Toggle individual layer visibility","None","N/A","N/A","N/A","Updates visibility for single layer","WMS layer from GeoServer","Layer opacity slider","State update","✅ VERIFIED"
"Layer Tree - Opacity Slider","src/components/layer-tree/","Adjust layer opacity","None","N/A","N/A","N/A","Updates layer opacity (0-1)","No layers","Opacity: {opacity}%","State update","✅ VERIFIED"
"Layer Tree - Expand/Collapse","src/components/layer-tree/","Click expand/collapse icon","None","N/A","N/A","N/A","Toggles expanded state","No layers","No stats","State update","✅ VERIFIED"
"Supporting Layers - AOI","src/config/layers.ts","Toggle AOI boundary","WMS GetMap","REQUEST=GetMap&LAYERS=boundaries:AOI","Polygon boundary","No layers","AOI boundary polygon","WMS request","✅ VERIFIED"
"Supporting Layers - Sindh Province","src/config/layers.ts","Toggle Sindh province boundary","WMS GetMap","REQUEST=GetMap&LAYERS=boundaries:sindh","Polygon boundary","No layers","Province boundary polygon","WMS request","✅ VERIFIED"
"Supporting Layers - Sub-Catchments","src/config/layers.ts","Toggle sub-catchment boundaries","WMS GetMap","REQUEST=GetMap&LAYERS=boundaries:sub_catchments","Polygon boundaries","No layers","Sub-catchment polygons","WMS request","✅ VERIFIED"
"Survey - DGPS Points","src/config/layers.ts","Toggle DGPS survey points","WMS GetMap","REQUEST=GetMap&LAYERS=survey:dgps","Point features","No layers","Survey point locations","WMS request","✅ VERIFIED"
"Structures - Canal Network","src/config/layers.ts","Toggle canal network","WMS GetMap","REQUEST=GetMap&LAYERS=structures:canal","Line features","No layers","Canal network lines","WMS request","✅ VERIFIED"
"Structures - Drains","src/config/layers.ts","Toggle drains","WMS GetMap","REQUEST=GetMap&LAYERS=structures:drains","Line features","No layers","Drain lines","WMS request","✅ VERIFIED"
"Present Climate - Flood Layers","src/config/layers.ts","Toggle present climate flood scenario","WMS GetMap","REQUEST=GetMap&LAYERS=results:t3_{rp}yrs_present_{maintenance}_{param}","Raster layer (depth/velocity/duration/vh)","Flood parameter layer (maxdepth, maxvelocity, duration, vh)","Flood extent for scenario","WMS request","✅ VERIFIED"
"Future Climate - Flood Layers","src/config/layers.ts","Toggle future climate flood scenario","WMS GetMap","REQUEST=GetMap&LAYERS=results:t3_{rp}yrs_future_{maintenance}_{param}","Raster layer (depth/velocity/duration/vh)","Flood parameter layer (maxdepth, maxvelocity, duration, vh)","Flood extent for scenario","WMS request","✅ VERIFIED"
"Flood 2022 - Actual Event","src/config/layers.ts","Toggle 2022 flood actual event","WMS GetMap","REQUEST=GetMap&LAYERS=results:flood_2022","Raster layer","No layers","2022 flood extent","WMS request","✅ VERIFIED"
"HDTM Terrain","src/config/layers.ts","Toggle HDTM terrain layer","WMS GetMap","REQUEST=GetMap&LAYERS=DEM:HDTM_1-9_1m","Raster DEM layer","No layers","Terrain elevation","WMS request","✅ VERIFIED"
"Impact Layers - All 9 Exposure Types","src/types/impact.ts","View impact layer in detail view","WMS GetMap (when toggled)","REQUEST=GetMap&LAYERS=exposures:T3_{rp}yrs_{Climate}_{Maintenance}_Impacted_{LayerType}&FILTER=depth_bin >= '{minBin}'","Vector/Point/Line/Polygon features","BHU, Buildings, Built_up_Area, Cropped_Area, Electric_Grid, Railways, Roads, Settlements, Telecom_Towers","Affected features by depth bin","WMS request with CQL filter","✅ VERIFIED"
"Legend Panel - Dynamic Legend","src/components/map/LegendPanel.tsx","View layer legend","WMS GetLegendGraphic","REQUEST=GetLegendGraphic&VERSION=1.1.1&FORMAT=image/png&LAYER={workspace}:{layer}","Legend graphic image","No layers","Legend with colored boxes","WMS request","✅ VERIFIED"
"Cache Stats Endpoint","api/impact-summary.mjs:681","View cache statistics","GET /api/cache/stats","N/A","{success: true, data: {totalEntries, validEntries, expiredEntries, ttl}}","N/A","N/A","No layers","Cache entry count","Cache stats calculation","✅ VERIFIED"
"Cache Clear Endpoint","api/impact-summary.mjs:688","Clear all cache entries","POST /api/cache/clear","N/A","{success: true, message: string, data: {entriesCleared}}","N/A","cache.clear()","No layers","No stats","Map.clear()","✅ VERIFIED"
"Cache Invalidate Endpoint","api/impact-summary.mjs:703","Invalidate specific cache entry","POST /api/cache/invalidate?climate=X&maintenance=Y&returnPeriod=Z","N/A","{success: true, message: string, data: {cacheKey, invalidated}}","N/A","cache.delete(key)","No layers","No stats","Map.delete()","✅ VERIFIED"
"Health Check Endpoint","api/impact-summary.mjs:617","Check API health","GET /api/health","N/A","{status: 'ok', pool: {totalCount, idleCount, waitingCount}}","N/A","N/A","No layers","Connection pool status","Pool property access","✅ VERIFIED"
"Depth Filter - Frontend Filtering","src/lib/depth-filter.ts","Filter scenarios by depth threshold","None","N/A","N/A","N/A","1) Filter impacts where depth > threshold, 2) Recalculate totalAffectedExposures","No layers","Filtered scenarios","Array.filter() + recalculation","✅ VERIFIED"
"Depth Filter - Bin Mapping","src/lib/depth-filter.ts","Map threshold to depth bins","None","N/A","N/A","N/A","threshold <= 0.15m = 15-100cm, 0.15-1m = 1-2m, 1-2m = 1-2m, 2-3m = 2-3m, 3-4m = 3-4m, 4-5m = 4-5m, >5m = above5m","No layers","Minimum depth bin for filtering","Conditional logic","✅ VERIFIED"
"Depth Filter - CQL Generation","src/lib/depth-filter.ts","Generate CQL filter for WMS","None","N/A","N/A","N/A","Creates OR chain: depth_bin >= '{bin}' OR depth_bin >= '{nextBin}' for all bins >= threshold","No layers","CQL filter string","String concatenation","✅ VERIFIED"
"Base Map - Google Satellite","src/components/map/","Select Google Satellite base map","Tile requests","XYZ tile URLs","Tile images","No layers","Google Satellite imagery","XYZ tile requests","✅ VERIFIED"
"Base Map - OpenStreetMap","src/components/map/","Select OpenStreetMap base map","Tile requests","XYZ tile URLs","Tile images","No layers","OSM imagery","XYZ tile requests","✅ VERIFIED"
"Base Map - Terrain","src/components/map/","Select Terrain base map","Tile requests","XYZ tile URLs","Tile images","No layers","Terrain imagery","XYZ tile requests","✅ VERIFIED"
"Swipe Compare - Left Map","src/components/swipe/","Compare two scenarios side-by-side","WMS GetMap for both left and right maps","Layers from left/right selection","Images","No layers","Two side-by-side maps","Dual WMS requests","✅ VERIFIED"
"Swipe Compare - Divider","src/components/swipe/","Drag divider to adjust comparison","None","N/A","N/A","N/A","Adjusts split percentage (0-100)","No layers","Split percentage","Mouse event handler","✅ VERIFIED"
"Swipe Compare - Layer Sync","src/components/swipe/","Synchronize pan/zoom between maps","None","N/A","N/A","N/A","Syncs view center and zoom","No layers","No stats","Event propagation","✅ VERIFIED"
"Layer Naming - 2.3yrs Workaround","Multiple files","Handle decimal in return period","N/A","N/A","N/A","N/A","Replaces 2.3 with 23 in layer names","No layers","T3_23yrs_... instead of T3_2.3yrs_...","String replacement","✅ VERIFIED"
"Geometry Type Detection","api/impact-summary.mjs:592","Determine geometry type for exposure layer","None","N/A","N/A","N/A","Point: BHU, Telecom_Towers; Line: Electric_Grid, Railways, Roads; Polygon: Buildings, Built_up_Area, Cropped_Area, Settlements","No layers","Geometry type for WMS","Conditional logic with arrays","✅ VERIFIED"
"Workspace Configuration","Multiple files","Determine GeoServer workspace","N/A","N/A","N/A","N/A","Impact layers: exposures, Flood layers: results, DEM: DEM","No layers","Workspace name","String lookup","✅ VERIFIED"
"WMS Version","Multiple files","WMS protocol version","N/A","N/A","N/A","N/A","N/A","N/A","1.1.1","Constant","✅ VERIFIED"
"Map Projection","src/components/map/MapViewer.tsx","Coordinate system","N/A","N/A","N/A","N/A","N/A","No layers","EPSG:32642 (UTM Zone 42N)","Proj4js definition","✅ VERIFIED"
"Map Extent","src/config/layers.ts","Map bounding box","N/A","N/A","N/A","N/A","N/A","No layers","Min X, Min Y, Max X, Max Y","Constant array","✅ VERIFIED"
"Map Center","src/config/layers.ts","Initial map center","N/A","N/A","N/A","N/A","N/A","No layers","Easting, Northing","Constant array","✅ VERIFIED"
"Materialized View","api/impact-summary.mjs:288","Query pre-computed statistics","SELECT FROM impact_summary_matview","N/A","Aggregated impact statistics by scenario and exposure type","Pre-aggregated with depth bin counts","No layers","42 scenarios × 9 exposure types = 378 rows","Single query","✅ VERIFIED"
"Population Stats Table","api/impact-summary.mjs:289","Join population data","LEFT JOIN impact.population_stats","N/A","Population impact by depth bin","Total population, affected population, population by depth bin","No layers","Population counts","LEFT JOIN","✅ VERIFIED"
"Exposure Types Array","src/types/impact.ts","Available exposure layers","N/A","N/A","N/A","N/A","N/A","No layers","9 types: BHU, Buildings, Built_up_Area, Cropped_Area, Electric_Grid, Railways, Roads, Settlements, Telecom_Towers","Constant array","✅ VERIFIED"
"Return Periods Array","src/types/layers.ts","Available return periods","N/A","N/A","N/A","N/A","N/A","No layers","2.3, 5, 10, 25, 50, 100, 500 years","Constant array","✅ VERIFIED"
"Maintenance Levels Array","src/types/impact.ts","Available maintenance levels","N/A","N/A","N/A","N/A","N/A","No layers","Breaches, RedCapacity, Perfect","Constant array","✅ VERIFIED"
"Color Scheme - Return Period","src/components/impact-matrix/views/SummaryHeatmapView.tsx:12","Return period color gradient","N/A","N/A","N/A","N/A","N/A","No layers","Light red (2.3yrs) to dark red (500yrs)","HSL color mapping","✅ VERIFIED"
"Color Scheme - Depth Bins","Multiple files","Depth bin colors","N/A","N/A","N/A","N/A","N/A","No layers","6 bins with 6 colors (green to red)","Color scale mapping","✅ VERIFIED"
"Opacity Default","Multiple files","Default layer opacity","N/A","N/A","N/A","N/A","N/A","No layers","0.7 for impact layers, 0.6 for flood layers","Constant","✅ VERIFIED"
"API Caching","api/impact-summary.mjs:96","Cache impact API responses","N/A","N/A","N/A","N/A","N/A","No layers","Cached responses (5-minute TTL)","In-memory Map cache","✅ VERIFIED"
"Cache Key Generation","api/impact-summary.mjs:101","Build cache key from parameters","N/A","N/A","N/A","N/A","N/A","No layers","Format: impact:{climate}:{maintenance}:{returnPeriod}","String interpolation","✅ VERIFIED"
"Cache TTL Configuration","api/impact-summary.mjs:97","Cache time-to-live","N/A","N/A","N/A","N/A","N/A","No layers","300000ms (5 minutes)","Environment variable","✅ VERIFIED"
"Connection Pool Configuration","api/impact-summary.mjs:109","Database connection pool","N/A","N/A","N/A","N/A","N/A","No layers","max: 10, min: 2, idleTimeout: 10s, connectionTimeout: 5s","Connection limits","Constant","✅ VERIFIED"
"Decimal Workaround - Backend","api/impact-summary.mjs:561","Replace 2.3 with 23 in layer names","N/A","N/A","N/A","N/A","replace('2.3', '23')","No layers","T3_23yrs_...","String replacement","✅ VERIFIED"
"Decimal Workaround - Frontend","src/types/impact.ts:253","Replace 2.3yrs with 23yrs","N/A","N/A","N/A","N/A","replace('2.3yrs', '23yrs')","No layers","T3_23yrs_...","String replacement","✅ VERIFIED"
"Severity Calculation - Low","api/impact-summary.mjs:607","Calculate low severity","N/A","N/A","N/A","N/A","affectedCount <= 2","No layers","Severity: low","Conditional logic","✅ VERIFIED"
"Severity Calculation - Medium","api/impact-summary.mjs:608","Calculate medium severity","N/A","N/A","N/A","N/A","affectedCount <= 5","No layers","Severity: medium","Conditional logic","✅ VERIFIED"
"Severity Calculation - High","api/impact-summary.mjs:609","Calculate high severity","N/A","N/A","N/A","N/A","affectedCount <= 7","No layers","Severity: high","Conditional logic","✅ VERIFIED"
"Severity Calculation - Extreme","api/impact-summary.mjs:610","Calculate extreme severity","N/A","N/A","N/A","N/A","affectedCount > 7","No layers","Severity: extreme","Conditional logic","✅ VERIFIED"
"Infrastructure Average Calculation","src/components/impact-matrix/views/DetailedBreakdownView.tsx:145","Calculate infrastructure impact %","N/A","N/A","N/A","N/A","(sum affectedFeatures) / (sum totalFeatures) * 100 for Roads, Railways, Electric_Grid, Telecom_Towers","No layers","Infrastructure Impact %","Division + multiplication","✅ VERIFIED"
"Ag/Buildings Average Calculation","src/components/impact-matrix/views/DetailedBreakdownView.tsx:157","Calculate ag/buildings impact %","N/A","N/A","N/A","N/A","(sum affectedFeatures) / (sum totalFeatures) * 100 for Cropped_Area, Buildings","No layers","Ag & Buildings Impact %","Division + multiplication","✅ VERIFIED"
"Affected Layers Count","src/components/impact-matrix/views/DetailedBreakdownView.tsx:164","Count affected exposure types","N/A","N/A","N/A","N/A","Count of impacts where affectedFeatures > 0","No layers","X of 9 exposure types affected","Array.filter().length","✅ VERIFIED"
"Average Affected Calculation","src/components/impact-matrix/views/SummaryHeatmapView.tsx:131","Calculate average affected exposures","N/A","N/A","N/A","N/A","sum(totalAffectedExposures) / totalScenarios","No layers","Average affected: X.X","Division","✅ VERIFIED"
"Extreme Scenarios Count","src/components/impact-matrix/views/SummaryHeatmapView.tsx:123","Count extreme scenarios","N/A","N/A","N/A","N/A","Count of scenarios where severity === 'extreme'","No layers","Extreme scenarios: X","Array.filter().length","✅ VERIFIED"
"High Scenarios Count","src/components/impact-matrix/views/SummaryHeatmapView.tsx:124","Count high scenarios","N/A","N/A","N/A","N/A","Count of scenarios where severity === 'high'","No layers","High scenarios: X","Array.filter().length","✅ VERIFIED"
"Total Scenarios Count","src/components/impact-matrix/views/SummaryHeatmapView.tsx:121","Count total scenarios","N/A","N/A","N/A","N/A","scenarios.length","No layers","Total scenarios: X","Array.length","✅ VERIFIED"
"With Impact Count","src/components/impact-matrix/views/SummaryHeatmapView.tsx:122","Count scenarios with any impact","N/A","N/A","N/A","N/A","Count of scenarios where totalAffectedExposures > 0","No layers","With impact: X","Array.filter().length","✅ VERIFIED"
"Layer ID Generation","src/components/impact-matrix/ImpactMatrix.tsx:193","Build layer ID for map","N/A","N/A","N/A","N/A","impact.geoserverLayer","No layers","Layer name","Property access","✅ VERIFIED"
"Layer Name Fallback","src/components/impact-matrix/views/DetailedBreakdownView.tsx:181","Fallback layer name construction","N/A","N/A","N/A","N/A","scenario.scenarioId + '_' + layerType","No layers","Layer name","String concatenation","✅ VERIFIED"
"Depth Bin Array Construction","api/impact-summary.mjs:520","Build depth bin array","N/A","N/A","N/A","N/A","Map 6 depth bins with ranges, counts, percentages","No layers","Depth bins: [{range, minDepth, maxDepth, count, percentage}]","Array construction","✅ VERIFIED"
"Depth Bin Percentage - Normal","api/impact-summary.mjs:548","Calculate depth bin % for normal layers","N/A","N/A","N/A","N/A","(bin.count / totalAffected) * 100","No layers","Percentage by bin","Division + multiplication","✅ VERIFIED"
"Depth Bin Percentage - Zonal","api/impact-summary.mjs:532","Calculate depth bin % for zonal layers","N/A","N/A","SELECT depth_bin, ST_Area(geom)/10000 as area_hectares FROM table","For Cropped_Area and Built_up_Area: use area-based distribution","No layers","Percentage by bin","Area sum + division","✅ VERIFIED"
"Population Depth Bin Percentage","api/impact-summary.mjs:577","Calculate population depth bin %","N/A","N/A","N/A","N/A","(bin.population / totalPop) * 100","No layers","Population % by bin","Division + multiplication","✅ VERIFIED"
"Scenario Matrix Organization","src/components/impact-matrix/views/SummaryHeatmapView.tsx:86","Organize scenarios by return period and maintenance","N/A","N/A","N/A","N/A","Map with key '{returnPeriod}|{maintenance}'","No layers","7x3 matrix (7 return periods × 3 maintenance)","Map construction","✅ VERIFIED"
"Scenario Lookup by Cell","src/components/impact-matrix/views/SummaryHeatmapView.tsx:98","Get scenario for matrix cell","N/A","N/A","N/A","N/A","scenarioMatrix.get('{returnPeriod}|{maintenance}')","No layers","Scenario object","Map.get()","✅ VERIFIED"
"Exposure Layer Types Array","src/types/impact.ts","Define available exposure layers","N/A","N/A","N/A","N/A","N/A","No layers","['BHU', 'Buildings', 'Built_up_Area', 'Cropped_Area', 'Electric_Grid', 'Railways', 'Roads', 'Settlements', 'Telecom_Towers']","Constant array","✅ VERIFIED"
"Return Period Intensity Mapping","src/components/impact-matrix/views/SummaryHeatmapView.tsx:12","Map return period to color intensity","N/A","N/A","N/A","N/A","N/A","No layers","HSL colors with varying lightness","Object lookup","✅ VERIFIED"
"Geometry Type Mapping","api/impact-summary.mjs:592","Map exposure type to geometry type","N/A","N/A","N/A","N/A","Check if layerType in pointLayers, lineLayers, or polygonLayers","No layers","'point' | 'line' | 'polygon'","Array.includes()","✅ VERIFIED"
"Workspace Mapping","api/impact-summary.mjs:562","Determine GeoServer workspace","N/A","N/A","N/A","N/A","N/A","exposures","Constant","✅ VERIFIED"
"Impact Layer Legend URL","src/config/layers.ts:50","Build legend graphic URL","N/A","N/A","N/A","N/A","N/A","No layers","Legend image URL","String interpolation","✅ VERIFIED"
"WMS Request URL Builder","Multiple files","Build WMS request URL","N/A","N/A","N/A","N/A","baseUrl + '/wms?REQUEST=GetMap&LAYERS={workspace}:{layer}&VERSION=1.1.1'","No layers","WMS map image","String interpolation","✅ VERIFIED"
